country_iso3,civic_engagement_score,health_score,housing_score,job_security_score,safety_score,work_life_balance_score
AUS,2.7,83.0,19.4,3.1,67.0,12.5
AUT,1.3,82.0,20.8,2.3,86.0,5.3
BEL,2.0,82.1,20.0,2.4,56.0,4.3
BRA,2.2,75.9,,,45.0,5.6
CAN,2.9,82.1,22.9,3.8,78.0,3.3
CHE,2.3,84.0,21.4,,86.0,0.4
CHL,1.3,80.6,18.4,7.0,41.0,7.7
COL,1.4,76.7,,,50.0,23.7
CRI,1.8,80.5,17.0,,47.0,22.0
CZE,1.6,79.3,23.4,2.3,77.0,4.5
DEU,1.8,81.4,20.0,1.4,76.0,3.9
DNK,2.0,81.5,23.3,4.5,85.0,1.1
ESP,1.8,83.9,21.7,15.8,80.0,2.5
EST,2.7,78.8,17.0,5.4,79.0,2.2
FIN,2.2,82.1,23.1,2.2,88.0,3.6
FRA,2.1,82.9,20.7,3.1,74.0,7.7
GBR,3.1,81.3,23.2,3.3,78.0,10.8
GRC,1.8,81.7,21.8,21.7,69.0,4.5
HUN,1.2,76.4,19.9,3.8,74.0,1.5
IRL,1.3,82.8,20.6,2.6,76.0,4.7
ISL,2.1,83.2,,1.0,85.0,11.7
ISR,2.5,82.9,,4.6,80.0,14.1
ITA,2.5,83.6,22.5,8.6,73.0,3.3
JPN,1.4,84.4,21.8,2.7,77.0,
KOR,2.9,83.3,14.7,2.9,82.0,
LTU,2.4,76.4,18.4,,62.0,1.0
LUX,1.7,82.7,20.7,2.2,87.0,2.8
LVA,2.2,75.5,20.8,6.3,72.0,1.6
MEX,3.2,75.1,17.8,4.0,42.0,27.0
NLD,2.6,82.2,19.6,2.5,83.0,0.3
NOR,2.2,83.0,17.7,2.8,93.0,1.4
NZL,2.5,82.1,25.0,4.5,66.0,14.0
POL,2.6,78.0,21.2,5.0,71.0,4.2
PRT,1.5,81.8,19.6,8.1,83.0,5.6
RUS,,73.2,17.4,,64.0,0.1
SVK,3.0,77.8,27.4,8.8,76.0,4.2
SVN,2.5,81.6,18.2,5.9,91.0,5.6
SWE,2.0,83.2,20.1,4.4,79.0,0.9
TUR,1.5,78.6,18.9,13.0,59.0,25.0
USA,3.1,78.9,18.3,4.2,78.0,10.4
ZAF,,64.2,18.1,,40.0,15.4
