country_iso3,year,social_spending_pct_gdp
BGR,2021,0.113
BGR,2022,0.107
SVK,2015,0.915
SVK,2016,0.909
SVK,2017,0.91
SVK,2018,0.848
SVK,2019,0.88
SVK,2020,0.884
SVK,2021,0.918
SVN,2015,1.352
SVN,2016,1.31
SVN,2017,1.279
SVN,2018,1.269
SVN,2019,1.332
SVN,2020,1.363
SVN,2021,1.271
LVA,2015,0.052
LVA,2016,0.051
LVA,2017,0.055
LVA,2018,0.06
LVA,2019,0.328
LVA,2020,0.339
LVA,2021,0.334
LTU,2015,0.164
LTU,2016,0.182
LTU,2017,0.219
LTU,2018,0.249
LTU,2019,0.304
LTU,2020,0.258
LTU,2021,0.373
LUX,2015,0.218
LUX,2016,0.223
LUX,2017,0.208
LUX,2018,0.218
LUX,2019,0.228
LUX,2020,0.226
LUX,2021,0.223
MEX,2015,0.373
MEX,2016,0.396
MEX,2017,0.408
MEX,2018,0.422
MEX,2019,0.453
MEX,2020,0.505
MEX,2021,0.495
MEX,2022,0.515
NLD,2020,5.115
NLD,2021,4.916
PRT,2019,2.027
PRT,2020,2.059
ESP,2021,1.318
ROU,2020,0.11
ROU,2021,0.111
HRV,2020,0.664
HRV,2021,0.733
PER,2022,0.534
ISR,2022,2.269
ISR,2023,2.342
ITA,2021,1.056
NZL,2021,0.797
NZL,2022,0.824
NOR,2020,1.369
NOR,2021,1.164
CHE,2020,2.054
CHE,2021,1.912
AUS,2018,1.428
AUS,2019,1.364
AUS,2020,1.402
AUS,2021,1.217
AUS,2022,1.198
IRL,2021,1.589
SWE,2020,2.25
SWE,2021,2.205
POL,2020,0.793
POL,2021,0.783
JPN,2021,2.755
TUR,2020,0.218
TUR,2021,0.225
TUR,2022,0.199
GBR,2022,3.416
CHL,2015,0.563
CHL,2016,0.578
CHL,2017,0.595
CHL,2018,0.594
CHL,2019,0.618
CHL,2020,0.551
CHL,2021,0.666
CHL,2022,0.705
CHL,2023,0.717
CRI,2015,0.254
CRI,2016,0.276
CRI,2017,0.438
CRI,2018,0.458
CRI,2019,0.468
CRI,2020,0.537
CRI,2021,0.596
CRI,2022,0.578
CZE,2015,0.212
CZE,2016,0.225
CZE,2017,0.255
CZE,2018,0.277
CZE,2019,0.292
CZE,2020,0.332
CZE,2021,0.353
DEU,2015,1.166
DEU,2016,1.161
DEU,2017,1.154
DEU,2018,1.193
DEU,2019,1.175
DEU,2020,1.25
DEU,2021,1.195
HUN,2015,0.355
HUN,2016,0.368
HUN,2017,0.361
HUN,2018,0.373
HUN,2019,0.327
HUN,2020,0.332
HUN,2021,0.299
EST,2015,0.103
EST,2016,0.106
EST,2017,0.105
EST,2018,0.119
EST,2019,0.108
EST,2020,0.11
EST,2021,0.129
EST,2022,0.14
GRC,2015,0.468
GRC,2016,0.504
GRC,2017,0.486
GRC,2018,0.52
GRC,2019,0.575
GRC,2020,0.606
GRC,2021,0.565
COL,2015,0.624
COL,2016,0.625
COL,2017,0.616
COL,2018,0.58
COL,2019,0.686
COL,2020,0.701
COL,2021,0.717
COL,2022,0.659
COL,2023,0.667
AUT,2015,1.431
AUT,2016,1.388
AUT,2017,1.384
AUT,2018,1.375
AUT,2019,1.41
AUT,2020,1.405
AUT,2021,1.36
BEL,2015,1.899
BEL,2016,1.923
BEL,2017,1.887
BEL,2018,1.935
BEL,2019,1.81
BEL,2020,1.996
BEL,2021,1.932
CAN,2015,5.237
CAN,2016,5.284
CAN,2017,6.007
CAN,2018,5.95
CAN,2019,6.038
CAN,2020,6.236
CAN,2021,5.563
CAN,2022,5.082
DNK,2015,2.045
DNK,2016,1.818
DNK,2017,1.7
DNK,2018,1.524
DNK,2019,1.485
DNK,2020,1.762
DNK,2021,1.488
FIN,2015,1.454
FIN,2016,1.432
FIN,2017,1.271
FIN,2018,1.156
FIN,2019,1.154
FIN,2020,1.156
FIN,2021,1.245
FRA,2015,3.575
FRA,2016,2.882
FRA,2017,2.855
FRA,2018,2.838
FRA,2019,2.793
FRA,2020,2.924
FRA,2021,2.848
FRA,2022,2.845
